User Name,First Name,Last Name,Display Name,Job Title,Department,Office Number,Office Phone,Mobile Phone,Fax,Address,City,State or Province,ZIP or Postal Code,Country or Region
chrisr@insightsroom.com,Chris,Roy,Chris Roy,Research Scientist,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821,1010 EASY ST,Vancouver,BC, K1A 0B1,Canada
jacobw@insightsroom.com,Jacob,Wilson,Jacob Wilson,Research Scientist,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821,1010 EASY ST,Vancouver,BC, K1A 0B1,Canada
maryj@insightsroom.com,Mary,Johnson,Mary Johnson,Research Scientist,Information Technology,123452,123-555-1212,123-555-6642,123-555-9822,"180 North Michigan
Avenue",Chicago,IL,60601,United States
johns@insightsroom.com,John,Smith,John Smith,Research Scientist,Information Technology,123452,123-555-1212,123-555-6642,123-555-9822,"180 North Michigan
Avenue",Chicago,IL,60601,United States
juang@insightsroom.com,Juan,García ,Juan García ,Research Scientist,Automobile,123453,123-555-1213,123-555-6643,123-555-9823,Feliceto 2222,Mexicali,BC,46800,MEXICO                                  
marthag@insightsroom.com,Martha,Gomez,Martha Gomez,Research Scientist,Automobile,123453,123-555-1213,123-555-6643,123-555-9823,Feliceto 2222,Mexicali,BC,46800,MEXICO                                  
anao@insightsroom.com,Ana,Oliveira,Ana Oliveira,Research Scientist,Medical Science,123454,123-555-1214,123-555-6644,123-555-9824,Av. Paulista R. Augusta,São Paulo,SP,01310-000,Brazil
carlosv@insightsroom.com,Carlos,Vega,Carlos Vega,Research Scientist,Medical Science,123454,123-555-1214,123-555-6644,123-555-9824,Av. Paulista R. Augusta,São Paulo,SP,01310-000,Brazil
thomasm@insightsroom.com,Thomas,Martin,Thomas Martin,Research Scientist,Medical Science,123455,123-555-1215,123-555-6645,123-555-9825,Travel World House,Sydney,NSW,2055,Australia
sophiab@insightsroom.com,Sophia ,Brown,Sophia Brown,Research Scientist,Medical Science,123455,123-555-1215,123-555-6645,123-555-9825,Travel World House,Sydney,NSW,2055,Australia
